id,source_id,name,type_name,secteur_chefferie_commune_id
757,783,NDJOMBO,G,82
758,784,NKONDI,G,82
759,785,PENDJWA BOLOMBI,G,82
760,786,WAYA,G,82
761,787,BADIA,G,83
762,788,BATERE,G,84
763,789,DWELE,G,85
764,791,MBANTIN,G,85
765,792,BABAY,G,86
766,793,MBELO,G,86
767,794,LEMVIA-NORD,G,87
768,795,LEMVIA-SUD,G,87
769,796,MABIE,G,87
770,797,MBA-MUSHI,G,87
771,798,BABOMA-BANKU,G,88
772,799,BABOMA-SUD,G,88
773,800,BATEKE-SUD,G,88
774,801,BABOMA-NORD,G,89
775,802,BAMPEE,G,89
776,803,BANUNU,G,89
777,804,BOKONGO,G,90
778,805,IMOMA,G,90
779,806,MBINDJA-NKANA,G,90
780,807,BOOLI,G,91
781,808,ETWALI  BOKALA,G,91
782,809,BOLENDO,G,92
783,810,BOLONGO,G,92
784,811,BATITO,G,93
785,812,IPANGA,G,93
786,813,BANUNU BOBANGI,G,94
787,814,BATIENE,G,94
788,815,KIFUMA,G,95
789,816,KIMBONGO,G,95
790,817,KINGANTOKO,G,95
791,818,KINIMI,G,95
792,819,KINSAMBI,G,95
793,820,MINKONO,G,95
794,821,NSABUKA,G,95
795,822,BOKO-MBUBA,G,96
796,823,KIMBUNGU,G,96
797,824,KINZAMBI,G,96
798,825,KINZUANA,G,96
799,826,MBANZA-MBATA,G,96
800,827,NGOMINA,G,96
801,828,NLALA-KIKUAMA,G,96
802,829,NTAMPA,G,96
803,830,SEFU,G,96
804,831,TOTO-LEMBOLO,G,96
805,832,YIDI,G,96
806,833,BIBANGA,G,97
807,834,BU,G,97
808,835,KIMPUNGI,G,97
809,836,KINDU,G,97
810,837,KINGAO,G,97
811,838,KISIAMA,G,97
812,839,KITEMPA,G,97
813,840,MAKE,G,97
814,841,KIMANKUNDI,G,98
815,842,KIMVIDI,G,98
816,843,KINSIMBU-LUKENI,G,98
817,844,KONGO-MBUBA,G,98
818,845,KIMABAKA,G,99
